order_no,serial_no,warehouse_type,storage_location,lot_no,product_no,product_name,specification,quantity,unit,packing_quantity,packing_unit,attribute1,attribute2,attribute3,attribute4,attribute5,users_id,location_id,stamp1,c_order_no,c_serial_no,c_quantity,c_packing_quantity,c_users_id,c_stamp,timestamp
1221-20221017003,0002,F05,B0001,0011,220309208600000040,粉體_AH002,_6063-T5_6000mm_2065AT(2258)(純白),0,支,588.73,Kg,,,,,,user0012,1100F05B0001,2022-12-14 11:07:37,5101-20221017006,AA02,120,588.73,user0012,2022-12-14 11:10:42,Mon Dec 19 2022 01:20:49 GMT-0800 (Pacific Standard Time)
1221-20221017003,0002,F05,B0001,0011,220309208600000040,粉體_AH002,_6063-T5_6000mm_2065AT(2258)(純白),0,支,588.73,Kg,,,,,,user0012,1100F05B0001,2022-12-14 11:07:37,5101-20221017006,AA02,120,588.73,user0012,2022-12-14 11:10:42,Mon Dec 19 2022 01:21:45 GMT-0800 (Pacific Standard Time)
1221-20221017003,0002,F05,B0001,0011,220309208600000040,粉體_AH002,_6063-T5_6000mm_2065AT(2258)(純白),0,支,588.73,Kg,,,,,,user0012,1100F05B0001,2022-12-14 11:07:37,5101-20221017006,AA02,120,588.73,user0012,2022-12-14 11:10:42,Mon Dec 19 2022 01:29:57 GMT-0800 (Pacific Standard Time)
1221-20221017003,0002,F05,B0001,0011,220309208600000040,粉體_AH002,_6063-T5_6000mm_2065AT(2258)(純白),0,支,588.73,Kg,,,,,,user0012,1100F05B0001,2022-12-14 11:07:37,5101-20221017006,AA02,120,588.73,user0012,2022-12-14 11:10:42,Mon Dec 19 2022 01:38:56 GMT-0800 (Pacific Standard Time)
1221-20221017003,0002,F05,B0001,0011,220309208600000040,粉體_AH002,_6063-T5_6000mm_2065AT(2258)(純白),0,支,588.73,Kg,,,,,,user0012,1100F05B0001,2022-12-14 11:07:37,5101-20221017006,AA02,120,588.73,user0012,2022-12-14 11:10:42,Mon Dec 19 2022 01:54:22 GMT-0800 (Pacific Standard Time)
